Question,Correct Answer,Wrong 1,Wrong 2,Wrong 3,Category,Explanation
Which century witnessed both the birth of Genghis Khan and the Battle of Arsuf between Saladin and Richard the Lionheart?,The 12th Century,The 9th Century,The 14th Century,The 6th Century,History,Genghis Khan was born sometime in the late 1100's.
In what year was the city of Constantinople annexed by the Ottomans?,1453,1312,1492,1574,History,Constantinople was subsequently renamed to Istanbul by the conquering Ottomans.
Which of the following geographic locations is NOT part of the Mediterranean Sea?,The Red Sea,The Bosphorus,The Ionian Sea,The Balearic Sea,Geography,The Red Sea sits between the Arabian Peninsula and Africa.
What was the original name of the popular streaming website Twitch.tv?,Justin.tv,YouStream.com,LiveWatch.tv,HuluStream.tv,Entertainment,The site changed its name in 2011.
"Which of these is another name for the wolfberry, which is largely grown in northeastern China?",Goji Berry,Açai,Raspberry,Boysenberry,Science,Goji berries come from the Himalayas.
"Which of the following albums was the Beatles' first - and also featured the track ""Twist and Shout""?",Please Please Me,A Hard Day's Night,Abbey Road,Let it Be,Entertainment,"This debut album came out on March 22nd, 1963."
"Which roman emperor's personal writings were famously published under the name ""Meditations""?",Marcus Aurelius,Nero,Augustus Caesar,Cincinnatus,History,"Aurelius wrote the 12 books of Meditations between 161 and 180 AD, never intending them to be published."
The diameter of a basketball hoop is about two inches wider than the ball itself. How wide is the hoop?,18 inches (~45cm),28 inches (~70cm),12 inches (~30cm),6 inches (~15cm),Sports,"When basketball was first invented, it was played with a soccer ball!"
"Only one of the following countries didn't have a panda in one of their zoos in 2019. However, that country was also home to the world's tallest statue, the Statue of Unity. Which one is it?",India,Japan,Singapore,Canada,Geography,The Statue of Unity is 600 feet - about 180 meters - tall. That's almost twice as tall as the Statue of Liberty in New York!
"""Wolfram"" was the original name of this chemical element that, due to its particularly high melting point, is commonly used in incandescent lightbulb filaments.",Tungsten,Lead,Magnesium,Titanium,Science,"At 3,422 °C (6,192 °F), Tungsten has the highest melting point of all elements."
"Named after the Portuguese explorer to first navigate from Europe to Asia via the Pacific ocean, this important strait in southern Chile allows natural passage between the Atlantic and Pacific oceans.",Magellan,Gibraltar,Juan de Fuca,Messina,Geography,"The 1914 opening of the Panama Canal provided a safer alternative to the Strait of Magellan, which is considered to be one of the most dangerous waterways in the world."
